,Model,Window,Neutral,Train Score,Test Score,Params
0,Random Forest,4,1,0.5909654717439805,0.49090909090909096,"{'max_depth': 16, 'n_estimators': 24}"
1,XGBoost,4,1,0.5729663915519179,0.4545454545454546,"{'colsample_bytree': 0.9414818544577265, 'gamma': 0.11592704627355288, 'learning_rate': 0.18121698995149615, 'max_depth': 17, 'min_child_weight': 2.784470346215705, 'n_estimators': 16, 'reg_alpha': 3.651116315540037, 'subsample': 0.9568127064418155}"
0,Random Forest,1,0,0.560053339397563,0.5384615384615384,"{'max_depth': 8, 'n_estimators': 52}"
2,LightGBM,4,0,0.5545780858762603,0.34,"{'colsample_bytree': 0.9223961272482367, 'gamma': 3.411109401966006, 'learning_rate': 0.5071559302415667, 'max_depth': 8, 'min_child_weight': 3.449843114428041, 'n_estimators': 65, 'reg_alpha': 0.856183992769306, 'subsample': 0.9077053224156402}"
2,LightGBM,1,0,0.5483276508965419,0.5817307692307693,"{'colsample_bytree': 0.9398713134175182, 'gamma': 3.2541429312099037, 'learning_rate': 0.18441212671423074, 'max_depth': 4, 'min_child_weight': 11.13421313924792, 'n_estimators': 30, 'reg_alpha': 2.697700509493418, 'subsample': 0.8704465477785911}"
2,LightGBM,4,1,0.5447914128999655,0.45454545454545453,"{'colsample_bytree': 0.9743645683196406, 'gamma': 0.8449753379533254, 'learning_rate': 0.16402460543089215, 'max_depth': 8, 'min_child_weight': 2.922741673296162, 'n_estimators': 73, 'reg_alpha': 3.4891387714145194, 'subsample': 0.8738087643297839}"
0,Random Forest,2,0,0.5404349688629195,0.5128205128205128,"{'max_depth': 23, 'n_estimators': 16}"
0,Random Forest,4,0,0.5401230319714093,0.32,"{'max_depth': 13, 'n_estimators': 28}"
3,Catboost,1,0,0.538450657413565,0.5865384615384617,{}
3,Catboost,4,1,0.5379699532111812,0.47272727272727266,{}
0,Random Forest,5,0,0.5376049798826569,0.30000000000000004,"{'max_depth': 4, 'n_estimators': 87}"
2,LightGBM,5,0,0.5372352018234504,0.35,"{'colsample_bytree': 0.8196377247819917, 'gamma': 3.0282453006980448, 'learning_rate': 0.2622687428350473, 'max_depth': 21, 'min_child_weight': 4.554381065855107, 'n_estimators': 10, 'reg_alpha': 0.7557256377546606, 'subsample': 0.9894959506336319}"
2,LightGBM,5,1,0.5369403178239386,0.7555555555555555,"{'colsample_bytree': 0.8376100521923783, 'gamma': 8.943162069228682, 'learning_rate': 0.049443780764861604, 'max_depth': 9, 'min_child_weight': 2.8594824610663863, 'n_estimators': 57, 'reg_alpha': 0.5834237849975965, 'subsample': 0.9189917991361841}"
0,Random Forest,5,1,0.5356712319402481,0.8222222222222223,"{'max_depth': 13, 'n_estimators': 73}"
1,XGBoost,4,0,0.5353860693997611,0.52,"{'colsample_bytree': 0.9995510740310024, 'gamma': 2.5321375844408545, 'learning_rate': 0.016790073329656922, 'max_depth': 23, 'min_child_weight': 4.771271272398082, 'n_estimators': 89, 'reg_alpha': 0.7335836208576152, 'subsample': 0.8673585339188411}"
0,Random Forest,2,1,0.5352745046081737,0.5714285714285714,"{'max_depth': 4, 'n_estimators': 94}"
2,LightGBM,3,0,0.5348106798983993,0.6666666666666666,"{'colsample_bytree': 0.7570152059969595, 'gamma': 0.9565744491905381, 'learning_rate': 0.28154210442091926, 'max_depth': 15, 'min_child_weight': 4.97614055334369, 'n_estimators': 43, 'reg_alpha': 4.0224603343327, 'subsample': 0.953307946408869}"
0,Random Forest,1,1,0.5331714286185787,0.29910714285714285,"{'max_depth': 20, 'n_estimators': 99}"
2,LightGBM,3,1,0.5328533403024065,0.45833333333333337,"{'colsample_bytree': 0.8895806644270594, 'gamma': 9.731556310782135, 'learning_rate': 0.32186722995344175, 'max_depth': 18, 'min_child_weight': 9.759258311905624, 'n_estimators': 18, 'reg_alpha': 0.9658610903954568, 'subsample': 0.8967875976407009}"
1,XGBoost,1,0,0.5326741082431494,0.45673076923076916,"{'colsample_bytree': 0.9733164838011675, 'gamma': 5.423843811333786, 'learning_rate': 0.3298405447691154, 'max_depth': 18, 'min_child_weight': 4.161528658256037, 'n_estimators': 11, 'reg_alpha': 1.9541422672779474, 'subsample': 0.8764785061505187}"
2,LightGBM,1,1,0.527912815455379,0.25892857142857145,"{'colsample_bytree': 0.6801762942687285, 'gamma': 3.3072274880333454, 'learning_rate': 0.40418453973233076, 'max_depth': 11, 'min_child_weight': 6.572938546917545, 'n_estimators': 14, 'reg_alpha': 1.0852377980652639, 'subsample': 0.9288094203035949}"
2,LightGBM,2,0,0.5269850056232905,0.608974358974359,"{'colsample_bytree': 0.9976867943371074, 'gamma': 7.7800909533323725, 'learning_rate': 0.4025457058358156, 'max_depth': 22, 'min_child_weight': 19.190995402446205, 'n_estimators': 66, 'reg_alpha': 5.143037183134557, 'subsample': 0.7877651934057517}"
1,XGBoost,1,1,0.525590365134313,0.3705357142857143,"{'colsample_bytree': 0.9293900742471101, 'gamma': 1.2094516778689612, 'learning_rate': 0.31254870187005995, 'max_depth': 15, 'min_child_weight': 10.671473501403938, 'n_estimators': 36, 'reg_alpha': 4.491303318452098, 'subsample': 0.9951141390245855}"
3,Catboost,5,1,0.5232253722162444,0.8,{}
2,LightGBM,2,1,0.5218001629815778,0.42857142857142855,"{'colsample_bytree': 0.8987529405646333, 'gamma': 8.457569963901346, 'learning_rate': 0.43370629542728695, 'max_depth': 9, 'min_child_weight': 2.5661900114972704, 'n_estimators': 91, 'reg_alpha': 0.1795987925378772, 'subsample': 0.9414281723710564}"
1,XGBoost,3,0,0.5217731829573935,0.45454545454545453,"{'colsample_bytree': 0.8422679820830522, 'gamma': 1.630522611480052, 'learning_rate': 0.2226937902567765, 'max_depth': 5, 'min_child_weight': 7.334139913245595, 'n_estimators': 11, 'reg_alpha': 4.972865512605191, 'subsample': 0.8764182172392045}"
1,XGBoost,2,1,0.5182839874300975,0.467032967032967,"{'colsample_bytree': 0.9593798328436749, 'gamma': 9.44225359926952, 'learning_rate': 0.35148961171442866, 'max_depth': 7, 'min_child_weight': 3.45023020151244, 'n_estimators': 17, 'reg_alpha': 0.11019130208209545, 'subsample': 0.952024656188419}"
1,XGBoost,2,0,0.5170111590902357,0.7756410256410257,"{'colsample_bytree': 0.8753270346640133, 'gamma': 0.593190559575989, 'learning_rate': 0.06640405808623966, 'max_depth': 14, 'min_child_weight': 1.7547403390386975, 'n_estimators': 59, 'reg_alpha': 7.679839897301284, 'subsample': 0.7356976669235673}"
3,Catboost,5,0,0.5164220869370597,0.35,{}
1,XGBoost,3,1,0.5135680448583674,0.5625,"{'colsample_bytree': 0.9800274135408602, 'gamma': 0.8854369842672893, 'learning_rate': 0.3143430743049936, 'max_depth': 7, 'min_child_weight': 2.5187878302087676, 'n_estimators': 48, 'reg_alpha': 4.866551050226112, 'subsample': 0.9710324047520753}"
1,XGBoost,5,0,0.5132615237991826,0.4,"{'colsample_bytree': 0.9999533627775691, 'gamma': 1.7707568171359855, 'learning_rate': 0.32800751537545053, 'max_depth': 12, 'min_child_weight': 9.413537334020894, 'n_estimators': 34, 'reg_alpha': 0.6485140016554991, 'subsample': 0.8095786828642362}"
1,XGBoost,5,1,0.5113343215270193,0.5,"{'colsample_bytree': 0.9217327584146724, 'gamma': 3.692431426738616, 'learning_rate': 0.29624778850186334, 'max_depth': 22, 'min_child_weight': 8.375178174562162, 'n_estimators': 89, 'reg_alpha': 5.052128278193531, 'subsample': 0.8935499604063175}"
3,Catboost,2,1,0.5112295842271597,0.6263736263736264,{}
0,Random Forest,3,0,0.5000643841868375,0.4545454545454545,"{'max_depth': 6, 'n_estimators': 13}"
0,Random Forest,3,1,0.49708486900761945,0.4444444444444444,"{'max_depth': 17, 'n_estimators': 32}"
3,Catboost,4,0,0.4968599062082834,0.39999999999999997,{}
3,Catboost,1,1,0.49653623334966457,0.3839285714285714,{}
3,Catboost,2,0,0.4910430513673931,0.6025641025641025,{}
3,Catboost,3,1,0.4785978137124148,0.5277777777777778,{}
3,Catboost,3,0,0.45507114954518746,0.5909090909090909,{}
